,movie_link,title,description,genres,date_released
1760,m/1209777-new_york,New York,"New York cab driver Omar (Neil Nitin Mukesh) has been set up by the FBI because they want him to spy on an old friend of his, Samir (John Abraham), who they think is a terrorist. As Omar recounts his relationship to Samir, which began nine years prior, he reflects on his friendship with Samir's now wife, Maya (Katrina Kaif), and how their lives were changed after 9/11. After Omar elects to become an FBI spy, he learns that this isn't the first time Samir has been targeted by the government.","Action & Adventure, Art House & International, Drama",2009-06-26
4685,m/cloak_and_dagger,Cloak and Dagger,"With his mother dead and his father, Hal Osborne (Dabney Coleman), busy working, 11-year-old Davey (Henry Thomas) spends his time immersed in video games, often dreaming up espionage stories featuring imaginary spy Jack Flack (also Coleman). When Davey sees the murder of an FBI agent, the dying man hands him an Atari video game cartridge with military secrets. No one believes his story, and Davey is forced to go on the run, escaping from attempts on his life with Flack's guidance.","Action & Adventure, Kids & Family",1984-08-10
12188,m/queen_of_earth,Queen of Earth,Tensions rise when an emotionally fragile woman (Elisabeth Moss) spends one week with her best friend (Katherine Waterston).,"Drama, Mystery & Suspense",2015-08-26
16344,m/tomboy_2011,Tomboy,A 10-year-old girl (Zoé Héran) moves into a new neighborhood and decides to dress like a boy.,"Art House & International, Drama",2011-11-16
12186,m/queen_margot,Queen Margot (La Reine Margot),"Margot (Isabelle Adjani) is one of several in line to inherit the crown in France, where Roman Catholics and Protestants are jockeying for power. Margot's mother, Catherine de Medici (Virna Lisi), is intent on seeing her son take the throne once the reign of King Charles IX (Jean-Hugues Anglade) ends. After being married to a man she doesn't love and starting a tryst with one she does, Margot contends with her mother's at-all-costs plan to control the political fate of the volatile country.","Art House & International, Classics, Drama, Romance",1994-12-09
12849,m/sanjuro,Sanjuro (Tsubaki Sanjûrô),"Toshiro Mifune swaggers and snarls to brilliant comic effect in Kurosawa's tightly paced, beautifully composed ""Sanjuro."" In this companion piece and sequel to ""Yojimbo,"" jaded samurai Sanjuro helps an idealistic group of young warriors weed out their clan's evil influences, and in the process turns their image of a proper samurai on its ear.","Action & Adventure, Art House & International",1963-05-07
2744,m/and_now_a_word_from_our_sponsor_2012,And Now A Word From Our Sponsor,"The executive (Bruce Greenwood) of an advertising agency awakes in hospital but can only communicate via advertising slogans. A hospital official (Parker Posey) takes him into her home, where he helps her and her daughter mend their relationship.","Art House & International, Comedy, Drama",2013-05-10
90,m/10008234-alexandra,Alexandra,"Elderly Aleksandra (Galina Vishnevskaya) visits her Russian soldier grandson, Denis (Vasily Shevtsov), at the Chechen war front, providing comfort as she tours his army base. While there, Aleksandra surprises everyone by climbing into an armored vehicle and brandishing a Kalashnikov rifle. Afterward, venturing outside, she meets a Chechen woman in town who bemoans the number of occupying troops, then has other adventures. All the while, Denis ponders the reason for her unexpected appearance.",Drama,2007-05-25
10838,m/my_life_as_a_dog,My Life as a Dog (Mitt Liv som Hund),"A boy (Anton Glanzelius), obsessed with comparing himself with those less fortunate, experiences a different life at the home of his aunt and uncle (Tomas von Brömssen) in 1959 Sweden.","Art House & International, Comedy, Drama",1987-05-01
6604,m/for_all_mankind,For All Mankind,"Directed by Al Reinert and with music scored by Brian Eno, ""For All Mankind"" provides a testament to NASA's Apollo program of the 1960s and '70s. Composed of actual NASA footage of the missions and astronaut interviews, the documentary offers the viewpoint of the individuals who braved the remarkable journey to the moon and back. While compiling the material for the film, Reinert went through more than six million feet of film of these historic moments.","Documentary, Special Interest",1989-01-01
10701,m/mrs_palfrey_at_the_claremont,Mrs. Palfrey at the Claremont,"After the death of her husband, Mrs. Palfrey (Joan Plowright) moves to London with the hope of gaining her independence and seeing her grandson. While she is staying at a residential hotel for senior citizens, she meets writer Ludovic Meyer (Rupert Friend) when she trips and falls on the street in front of his home. An unlikely friendship flourishes between them, bolstered by the fact that the residents are under the impression that Ludovic is Mrs. Palfrey's estranged grandson.","Comedy, Drama",2005-11-25
8098,m/i_heart_huckabees,I Heart Huckabees,"Environmentalist Albert (Jason Schwartzman) enlists the services of ""existential detectives"" Bernard (Dustin Hoffman) and Vivian (Lily Tomlin) to solve the meaning of a succession of strange coincidences. The investigators conclude that the backstabbing Brad (Jude Law) -- a public relations manager at big-box retailer Huckabees -- is at the root of Albert's angst. Brad tries to turn the tables, however, by hiring the philosophic duo for his own nefarious purposes.","Comedy, Drama",2004-10-01
14416,m/the-foot-fist-way,The Foot Fist Way,"Fred Simmons (Danny R. McBride), a bombastic but hopelessly inept master of a strip-mall dojo, falls to pieces upon discovering his wife's (Mary Jane Bostic) infidelity. Hoping to rebuild his shattered self-respect, he sets out on a quest to meet his longtime movie idol, Chuck ""The Truck"" Wallace (Ben Best), star of the ""Seven Rings of Pain"" trilogy.",Comedy,2006-06-24
9456,m/lez_bomb,Lez Bomb,"A closeted woman brings her girlfriend home for Thanksgiving, only to have her coming-out efforts thwarted by the unexpected arrival of her male roommate.","Comedy, Drama",2018-11-09
17665,m/youve_got_mail,You've Got Mail,"Struggling boutique bookseller Kathleen Kelly (Meg Ryan) hates Joe Fox (Tom Hanks), the owner of a corporate Foxbooks chain store that just moved in across the street. When they meet online, however, they begin an intense and anonymous Internet romance, oblivious of each other's true identity. Eventually Joe learns that the enchanting woman he's involved with is actually his business rival. He must now struggle to reconcile his real-life dislike for her with the cyber love he's come to feel.","Comedy, Drama, Romance",1998-12-18
6438,m/final_fantasy_vii_advent_children,Final Fantasy VII: Advent Children,A hero named Cloud (Takahiro Sakurai) must fight a new evil as a mysterious disease affects mankind in a devastated city.,"Action & Adventure, Animation, Science Fiction & Fantasy",2006-04-25
9227,m/larry_crowne,Larry Crowne,"Once well-respected at his company, Larry Crowne (Tom Hanks) finds himself on the unemployment line after a wave of corporate downsizing. Drowning in debt and unsure of what to do with his life, Larry enrolls in college, where he becomes part of a community of misfits who are all trying to carve out a better future. The possibility of romance enters the picture when Larry meets Mercedes Tainot (Julia Roberts), an instructor who has lost her passion for both teaching and her marriage.","Comedy, Drama",2011-07-01
2835,m/antitrust,Antitrust,"When Milo (Ryan Phillippe) graduates from college and lands his dream job writing software at a multi-billion dollar computer company, he couldn't be more thrilled. The company's magnetic founder (Tim Robbins) that he worshiped as a child is now his personal mentor. As he settles into his new position, Milo uncovers some dark secrets about the firm and soon learns that he can't trust anyone but himself in the high stakes world of computer technology.","Action & Adventure, Drama, Mystery & Suspense",2001-01-12
5046,m/cuck,Cuck,An isolated and unstable man becomes increasingly unhinged as he explores the hateful rhetoric of an online alt-right community.,Mystery & Suspense,2019-10-04
14710,m/the_childhood_of_a_leader,The Childhood of a Leader,The childhood of a post-World War I leader.,Drama,2016-07-22
6772,m/friends_with_benefits,Friends With Benefits,"Jamie (Mila Kunis) is a New York-based executive recruiter who entices Dylan (Justin Timberlake), an art director from Los Angeles, to take a job at the New York office of GQ magazine. Finding that they have much in common, the two become fast friends. Feeling jaded by a number of broken romances, Dylan and Jamie decide that they are ready to quit looking for true love and focus on having fun. However, complications unfold when the two best pals add sex to their relationship.",Comedy,2011-07-22
2838,m/anton_chekhovs_the_duel,Anton Chekhov's The Duel,Laevsky runs away with his married mistress Nadya and suffers a mental breakdown.,Drama,2010-04-28
104,m/10008618-return,The Lucky Ones,"Stuck at a closed airport while on leave from Iraq War service, soldiers Colee Dunn (Rachel McAdams), Fred Cheaver (Tim Robbins) and T.K. Poole (Michael Peña) decide to carpool to get to their far-off destinations. Colee wants to visit with her late fiancé's family, while wounded T.K. longs to see his future wife and Fred, needing fast cash to send his son to college, is headed for a casino. During the journey, the soldiers forge a bond based on their uncertain futures.","Comedy, Drama",2008-09-26
443,m/1007600-fly,The Fly,"When scientist Andre Delambre (Al Hedison) tests his matter transporter on himself, an errant housefly makes its way into the transportation chamber, and things go horribly wrong. As a result, Delambre's head and arm are now that of the insect. Slowly losing himself to the fly, Delambre turns to his wife, Helene (Patricia Owens), for help. But when tragedy strikes, Delambre's brother (Vincent Price) and Inspector Charas (Herbert Marshall) are forced to pick up the investigation.","Classics, Horror, Mystery & Suspense, Science Fiction & Fantasy",1958-07-16
16535,m/trust_2010,Trust,A man (Clive Owen) has difficulty coping with the knowledge that his 14-year-daughter (Liana Liberato) was assaulted by a sexual predator she met in an online chat room.,Drama,2011-04-01
6319,m/fast_color,Fast Color,"Hunted by mysterious forces, a young woman who has supernatural abilities must go on the run when her powers are discovered. With nowhere else to go, she flees back to her family and the farmhouse she abandoned long ago. There, while being pursued by the local sheriff, she begins to mend the broken relationships with her mother and daughter and learns that the power she needed was inside her all along.","Drama, Mystery & Suspense, Science Fiction & Fantasy",2019-04-19
1714,m/1202483-dark_streets,Dark Streets,"The indebted owner (Gabriel Mann) of a nightclub deals with dames (Bijou Phillips, Izabella Miko), murder and corruption.","Drama, Musical & Performing Arts",2008-12-12
8194,m/ill_always_know_what_you_did_last_summer,I'll Always Know What You Did Last Summer,A mysterious killer stalks a group of friends who kept an accidental death a secret.,"Horror, Mystery & Suspense",2006-08-15
1129,m/1074465-michael,Michael,"When jaded journalists Frank (William Hurt) and Huey (Robert Pastorelli), along with ""angel expert"" Dorothy (Andie MacDowell), travel to a small town in Iowa to investigate a story, they find Michael (John Travolta), a disheveled man claiming to be an angel. But Michael is less than angelic: he drinks, smokes and basks in the attention of women. As the group travels to Chicago, Michael teaches them about relationships, faith and miracles, suggesting that he may be exactly whom he says he is.","Comedy, Science Fiction & Fantasy",1996-12-25
7292,m/green_card,Green Card,"Urban horticulturalist Brontë Mitchell (Andie MacDowell) has her eye on a gorgeous apartment, but the building's board will rent it only to a married couple. Georges Fauré (Gérard Depardieu), a waiter from France whose visa is expiring, needs to marry an American woman to stay in the country. Their marriage of convenience turns into a burden when they must live together to allay the suspicions of the immigration service, as the polar opposites grate on each other's nerves.","Comedy, Romance",1990-12-25
2863,m/apollo_13,Apollo 13,"This Hollywood drama is based on the events of the Apollo 13 lunar mission, astronauts Jim Lovell (Tom Hanks), Fred Haise (Bill Paxton) and Jack Swigert (Kevin Bacon) find everything going according to plan after leaving Earth's orbit. However, when an oxygen tank explodes, the scheduled moon landing is called off. Subsequent tensions within the crew and numerous technical problems threaten both the astronauts' survival and their safe return to Earth.","Action & Adventure, Drama",1995-06-30
2661,m/american_pastoral,American Pastoral,"Seymour Swede Levov (Ewan McGregor) is a once legendary high school athlete who is now a successful businessman married to Dawn (Jennifer Connelly), a former beauty queen. When his beloved teenage daughter (Dakota Fanning) disappears after being accused of committing a violent act, Swede dedicates himself to finding her and reuniting his family. What he discovers shakes him to the core, forcing him to look beneath the surface and confront the chaos that is shaping the world around him.",Drama,2016-10-21
10179,m/matchstick_men,Matchstick Men,"Roy (Nicolas Cage), a depressed con artist with obsessive-compulsive disorder, and Frank (Sam Rockwell), his partner, find their line of work complicated by the arrival of Roy's teenage daughter, Angela (Alison Lohman). Angela brings some spirit back into Roy's life, and some of his disorder symptoms seem to disappear. But when Angela wants to learn the family business, and Roy allows her to assist on a big scam concerning a businessmen (Bruce McGill), he reconsiders his parenting techniques.","Comedy, Drama",2003-09-12
10623,m/mother_night,Mother Night,"At the dawn of World War II, American writer Howard Campbell (Nick Nolte) lives in Germany, where he pays little attention to the conflicts that surround him, instead preferring to attend elegant social events with his beautiful wife, Helga (Sheryl Lee). The U.S. government, however, enlists Howard to deliver pro-Nazi messages on European radio that are coded with secret messages for the Allied troops. But it isn't long before his superiors start suspecting that Howard is betraying them.","Action & Adventure, Drama, Mystery & Suspense",1996-11-01
13084,m/seven_samurai_1956,Seven Samurai (Shichinin no Samurai),"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food. A giant battle occurs when 40 bandits attack the village.","Action & Adventure, Art House & International, Classics, Drama",1956-11-19
495,m/1009691-hit,The Hit,"Hit men (John Hurt, Tim Roth) catch a stool pigeon (Terence Stamp) in Spain and take him on a wild ride to Paris.","Action & Adventure, Comedy, Drama, Mystery & Suspense",1984-09-12
15837,m/the_space_between_us,The Space Between Us,"Gardner Elliot, the first human born on Mars, begins an online friendship with Tulsa, a teen in Colorado. On his maiden voyage to Earth, the 16-year-old finally gets to experience all the joys and wonders of a world he could only read about. Problems arise when scientists discover that Gardner's organs can't withstand the atmosphere. United with Tulsa and on the run, the interplanetary visitor races against time to unravel the mysteries of how he came to be, and where he belongs in the universe.","Action & Adventure, Science Fiction & Fantasy",2017-02-03
2830,m/anthropoid,Anthropoid,"In December 1941, two Czech soldiers (Cillian Murphy, Jamie Dornan) parachute into their occupied homeland to assassinate Nazi officer Reinhard Heydrich (Detlef Bothe).","Drama, Mystery & Suspense",2016-08-12
8898,m/kate_and_leopold,Kate & Leopold,"Kate McKay (Meg Ryan) is a modern day executive, a 21st century woman driven to succeed in the corporate world. Leopold, the third Duke of Albany, is a charming gent and bachelor of the late 18OOs. With career and social expectations looming, each has grown cynical about the very notion of falling in love. But when a rip in the fabric of time thrusts Leopold into present day New York, the potential for an old-fashioned modern romance ignites.","Comedy, Science Fiction & Fantasy, Romance",2001-12-25
11880,m/planes_fire_and_rescue,Planes: Fire And Rescue,"Dusty (Dane Cook), the famous racing airplane, learns that his engine is damaged, so he must shift gears and find a new career. He joins an elite corps of firefighting aircraft devoted to protecting historic Piston Peak National Park. When a massive wildfire threatens the park, Dusty -- with the help of his fearless colleagues Blade Ranger, Lil' Dipper (Julie Bowen), Windlifter, Cabbie and the Smokejumpers -- learns what it takes to become a real hero.","Animation, Kids & Family",2014-07-18
401,m/1005724-desperate_hours,The Desperate Hours,"Three escaped felons (Humphrey Bogart, Dewey Martin, Robert Middleton) randomly target a suburban house to hide out in until midnight, when an accomplice plans to deliver them money. They take the entire family hostage -- but midnight comes and goes without a delivery. As their stay extends from hours into days, homeowner Dan Hilliard (Fredric March) complies with the felons' no-police demands to protect his wife and two children, while trying to plot an escape from the desperate situation.","Classics, Drama, Mystery & Suspense",1955-01-01
762,m/1020729-swing_time,Swing Time,"Dexterous and risk-taking Lucky Garnett (Fred Astaire) pursues dancing and gambling with equal verve. Engaged to the pretty Margaret Watson (Betty Furness), Lucky gets pre-wedding nerves, which leads to the ceremony being called off. Margaret's father decides that Lucky can have a second chance at marrying her if he can make $25,000, so he heads to New York City to seek his fortune. When Lucky meets the beautiful dance teacher Penny Carroll (Ginger Rogers), however, his priorities soon change.","Classics, Musical & Performing Arts, Romance",1936-09-04
7135,m/going_shopping,Going Shopping,"A boutique proprietress (Victoria Foyt) tries to avoid eviction, while mending ties with her mother (Lee Grant) and her daughter.","Comedy, Drama",2005-09-30
3,m/1000013-12_angry_men,12 Angry Men (Twelve Angry Men),"Following the closing arguments in a murder trial, the 12 members of the jury must deliberate, with a guilty verdict meaning death for the accused, an inner-city teen. As the dozen men try to reach a unanimous decision while sequestered in a room, one juror (Henry Fonda) casts considerable doubt on elements of the case. Personal issues soon rise to the surface, and conflict threatens to derail the delicate process that will decide one boy's fate.","Classics, Drama",1957-04-13
14139,m/sweet_hearts_dance,Sweet Hearts Dance,"Sandra (Susan Sarandon) and Wiley (Don Johnson) were married soon after high school, but now find themselves estranged from each other. Meanwhile, their old friend Sam (Jeff Daniels) thinks he has found true love for the first time with Adie (Elizabeth Perkins), a new schoolteacher. As the seasons change in a small Vermont town, friendships are tested as one relationship withers and another grows, and four individuals struggle to figure out what they really want.","Comedy, Drama, Romance",1988-09-01
1465,m/1141102-are_we_there_yet,Are We There Yet?,"Attempting to win the favor of the newly divorced Suzanne (Nia Long), Nick (Ice Cube) offers to accompany her children, Lindsey (Aleisha Allen) and Kevin (Philip Bolden), on a flight from Portland, Ore., to Canada to see their mother. A mishap with a corkscrew and a metal detector gets the troupe banned from the flight, however, so Nick is forced to drive the kids in his prized Lincoln Navigator. Tensions inevitably rise during the long road trip, but Nick is not to be deterred.","Action & Adventure, Comedy, Kids & Family, Romance",2005-01-20
3467,m/betting_on_zero,Betting on Zero,"Hedge fund titan Bill Ackman is on a crusade to expose global nutritional giant Herbalife as the largest pyramid scheme in history, while Herbalife executives claim Ackman is a market manipulator out to bankrupt them.",Documentary,2017-03-17
8800,m/juice,Juice,"Four Harlem friends -- Bishop (Tupac Shakur), Q (Omar Epps), Steel (Jermaine Hopkins) and Raheem (Khalil Kain) -- dabble in petty crime, but they decide to go big by knocking off a convenience store. Bishop, the magnetic leader of the group, has the gun. But Q has different aspirations. He wants to be a DJ and happens to have a gig the night of the robbery. Unfortunately for him, Bishop isn't willing to take no for answer in a game where everything's for keeps.","Action & Adventure, Drama",1992-01-17
8638,m/jeffrey,Jeffrey,"Jeffrey (Steven Weber), a gay man living in New York City with an overwhelming fear of contracting AIDS, concludes that being celibate is the only option to protect himself. As fate would have it, shortly after his declaration of a sex-free existence, he meets the handsome Steve Howard (Michael T. Weiss), his dream man -- except for his HIV-positive status. Facing this dilemma, Jeffrey turns to his best friend (Patrick Stewart) and an outrageous priest (Nathan Lane) for guidance.","Comedy, Drama, Gay & Lesbian",1995-08-04
12047,m/primer,Primer,"Intellectual engineers Aaron (Shane Carruth) and Abe (David Sullivan) build and sell error-checking technology with the help of their friends Robert (Casey Gooden) and Phillip (Anand Upadhyaya). But when Aaron and Abe accidentally invent what they think is a time machine, Abe builds a version capable of transporting a human and puts the device to the test. As the two friends obsess over their creation, they discover the dark consequences of their actions.","Drama, Mystery & Suspense, Science Fiction & Fantasy",2004-10-08
5234,m/days_of_thunder,Days of Thunder,"In the fast-paced world of NASCAR, a rivalry brews between rookie hotshot Cole Trickle (Tom Cruise) and veteran racer Rowdy Burns (Michael Rooker). When both of them are seriously injured in competition, the former bitter rivals become close friends. With Cole's spirits restored by a romance with neurosurgeon Dr. Claire Lewicki (Nicole Kidman), and Rowdy still sidelined by injuries, Cole decides to race Rowdy's car in the Daytona 500 against underhanded newcomer Russ Wheeler (Cary Elwes).","Action & Adventure, Drama, Romance",1990-06-27
7736,m/high_crimes,High Crimes,"A happily married, successful lawyer (Ashley Judd) is shocked to learn that her husband (Jim Caviezel) has a hidden past as a classified military operative, and is accused of committing a heinous war crime. As she prepares to defend her husband in a top-secret military court, where none of the rules she knows so well apply, she gets help from a wild card (Morgan Freeman) -- a former military attorney who doesn't play by anyone's rules.","Drama, Mystery & Suspense",2002-04-05
15681,m/the_quiet_family,The Quiet Family (Choyonghan kajok),"Mrs. Kang (Mun-hee Na) her husband, Tae-gu (Park In-hwan), and their three adolescent children decide to escape the hustle and bustle of Seoul, South Korea, and open up their own lodge in the countryside. Their plans for peace and quiet, however, quickly go awry as their first guest commits suicide. Worried about the bad publicity the death might bring, they bury the body and pretend nothing happened. But, oddly, each successive guest commits suicide, and the Kangs continue to hide the corpses.","Art House & International, Comedy, Drama, Horror",1998-01-01
9110,m/krrish,Krrish,"Sequel to ""Koi... Mil Gaya"", continuing the story of Rohit Mehra, a young man who has inherited supernatural powers thanks to his father's encounter with an alien. The film was Indian cinema's biggest hit in 2006, with special effects and stunts that stole the hearts of millions of Indians.","Action & Adventure, Art House & International, Drama",2006-06-23
