,movie_link,critic_name,review_type,review_date,content
27,m/10003437-deep_blue,Sean P. Means,Rotten,2005-09-02,"Stunning images of undersea life, ... but the footage is pieced together haphazardly, sometimes repetitively."
28,m/10003437-deep_blue,Matthew Leyland,Fresh,2004-06-08,"Taking us from God's-eye-views of the sparkling surface to the darkest depths, this ocean odyssey conveys a riveting sense of nature's infinite variety."
29,m/10003437-deep_blue,Brian Orndorf,Fresh,2005-06-08,"Deep Blue isn't as fortunate with screen dimensions, but it works, if only because it's hard to deny the vast beauty and mysteries that lie in our abyssal oceans."
30,m/10003437-deep_blue,Andrew Wright,Rotten,2005-06-30,Lacks the connecting thesis statement that separates an above-par nature documentary from just a really cool episode of Animal Planet.
31,m/10003437-deep_blue,Nick De Semlyen,Fresh,2004-06-18,"The big screen adds extra impact to inspiring images which capture all the brutality, camaraderie and absurdity of the ocean."
32,m/10003437-deep_blue,Moira MacDonald,Fresh,2005-07-01,A sumptuous but occasionally soporific nature documentary.
33,m/10003437-deep_blue,Laura Clifford,Fresh,2003-11-04,"A nice piece of work, but unfortunately it smacks of bandwagon-jumping following the success of such docs as Winged Migration."
34,m/10003437-deep_blue,Desson Thomson,Fresh,2005-06-16,This is as good a visual treat as you and your kids can expect.
35,m/10003437-deep_blue,Rene Rodriguez,Fresh,2005-02-17,"Practically every shot in Deep Blue offers some sort of remarkable, jaw-dropping sight."
36,m/10003437-deep_blue,Marty Mapes,Rotten,2006-05-05,Deep Blue could have lived its life on TV and felt more at home
37,m/10003437-deep_blue,Erik Childress,Rotten,2005-07-01,"There's certainly enough to hold one's interest during Deep Blue, but you won't learn as much as you would through a single corridor of Chicago's Shedd Aquarium."
38,m/10003437-deep_blue,Eleanor Ringel Cater,Rotten,2005-07-14,"This is a nasty, nauseating, dispiriting movie and, to repeat, whatever you do, don't take the kids -- no matter what the G rating says."
39,m/10003437-deep_blue,Cherryl Dawson and Leigh Ann Palone,Fresh,2005-06-22,"It goes on a little too long for mostly just pretty pictures, and you get more wonder than educational detail, but it's fascinating to look at."
40,m/10005819-10005819-neverwas,Dennis Harvey,Rotten,2005-09-20,"This is the kind of movie where a madwoman's outburst leads her to throw a mug that just happens to be filled with gold sparkles -- which can then be photographed cascading down on all the adorable loonies, in slow-motion."
41,m/10005819-10005819-neverwas,David Nusair,Rotten,2005-10-02,...unlikely to find much of an audience outside of the film festival circuit.
42,m/10005819-10005819-neverwas,Jason Gorber,Rotten,2007-06-21,"Good actors are wasted, sets dominate storytelling, and it's all based on the most banal and artificial of children's tales. Avoid."
43,m/10005819-10005819-neverwas,John J. Puccio,Rotten,2007-07-03,Seems rather a waste to use name actors and then not have them actually do anything.
44,m/10005819-10005819-neverwas,Brian Webster,Rotten,2007-07-04,Writer/ director Joshua Michael Stern has crafted something more than a mess and something less than a film that hits home. Neverwas never does quite win us over.
45,m/10005819-10005819-neverwas,Jules Brenner,Rotten,2007-07-04,Never has so much talent come to so little because of a screenplay that's so adrift and aimless. Eckhart plays a psychologist with enough personal psychoses to keep himself preoccupied for a lifetime.
46,m/10005819-10005819-neverwas,Robert Roten,Fresh,2008-06-21,"At a time when most films lack subtlety, it is rare to find one as delicate, wistful and tender as 'Neverwas.'"
47,m/10008126-straightheads,Stella Papamichael,Rotten,2007-04-24,Exploitative and depressing.
48,m/10008126-straightheads,Matthew Turner,Fresh,2007-04-26,The violence may be too strong for some but this is worth seeing for a terrific performance by Gillian Anderson.
49,m/10008126-straightheads,Anthony Quinn,Rotten,2007-04-27,"Masculinity in Crisis, part 364."
50,m/10008126-straightheads,Johnny Vaughan,Fresh,2007-04-27,"Payback involving a shotgun, a kitchen table and a heap of pain."
51,m/10008126-straightheads,Jamie Russell,Rotten,2007-04-27,Make no mistake: this lo-fi rape-revenge Brit flick wants to shock you.
52,m/10008126-straightheads,Tim Robey,Rotten,2007-04-27,Country rapists have their way with Gillian Anderson and poke Danny Dyer's eye out. The duo want payback.
53,m/10008126-straightheads,Steve Rose,Rotten,2007-04-27,This nasty and nonsensical rape-revenge thriller is a feature-length exercise in wrongness.
54,m/10008126-straightheads,James Christopher,Fresh,2007-04-27,Straightheads has the pornographic ingredients of a first-rate cult thriller.
55,m/10008126-straightheads,Neil Smith,Rotten,2007-04-27,Where's Mulder when you need him.
56,m/10008126-straightheads,Anna Smith,Rotten,2007-04-27,"Anderson bares (almost) all in this flawed but fitfully fascinating thriller with a comical, if less compelling, turn from Danny Dyer."
57,m/10008126-straightheads,Derek Elley,Fresh,2007-04-27,It's clear from the start this isn't a revenge drama that's going to wimp out at the end.
58,m/10008126-straightheads,Philip French,Rotten,2007-04-30,"A repellent, ill-thought-through feature."
59,m/10008126-straightheads,Rich Cline,Rotten,2007-05-05,Feels like an experiment in suspense and violence that doesn't actually tell us anything
60,m/10008126-straightheads,Brian Webster,Rotten,2007-09-04,"The film looks professional and has a relatively big-name star in Gillian Anderson, but the screenplay - written by director Dan Reed - doesn't make a single bit of sense."
61,m/10008126-straightheads,Felix Vasquez Jr.,Fresh,2007-09-27,About how some of us would be willing to sell our souls to protect our loved ones if we had to...
62,m/10008126-straightheads,David Nusair,Fresh,2007-10-14,...a low-key drama disguised as a revenge thriller...
63,m/10008126-straightheads,Ali Gray,Rotten,2012-11-03,Straightheads is as shallow as a puddle and forgoes anything approaching realism in favour of OTT violence and needless gore.
64,m/10008234-alexandra,Dennis Schwartz,Fresh,2009-09-28,An unusual masterpiece atmospheric anti-war film that is an example of cinema as pure feeling.
65,m/10008234-alexandra,James Christopher,Fresh,2008-09-26,"Apart from a thoroughly irritating background track of schmaltzy classical music, this is Sokurov at his shortest and most digestible."
66,m/10008234-alexandra,Armond White,Fresh,2008-04-09,Sokurov's sentimental poetry embroiders a nation's personal connections to the military; he shows the ineffable grace that contemporary American filmmakers are too pent up to grant us -- truths about fealty that our movies neglect.
67,m/10008234-alexandra,Boo Allen,Rotten,2008-07-20,"Interesting look at life in the Russian military, but to what purpose?"
68,m/10008234-alexandra,Wally Hammond,Fresh,2008-09-26,"It's also quietly challenging, in its own way, not least in its portrait of old age, its trials, new freedoms and the privilege of changing one's mind before it becomes too late."
69,m/10008234-alexandra,David Parkinson,Fresh,2008-09-26,"This is war as stalemate, with Aleksandr Burov's bleached images creating an alien landscape in which colour is as rare as compassion. Rarely has combat seemed so savage or futile."
70,m/10008234-alexandra,Roger Ebert,Fresh,2008-08-08,"Remarkable, how little Sokurov tells us, while telling us so much."
71,m/10008234-alexandra,Frank Swietek,Fresh,2008-07-29,One of those pure films that's devoid of excess and overstatement...simple but searing.
72,m/10008234-alexandra,Leo Goldsmith,Fresh,2007-11-13,This is as faultless a film as I've seen in a long time - certainly my best film of 2007.
73,m/10008234-alexandra,Matthew Lucas,Fresh,2019-07-06,"A rich and rewarding film, a deeply humanist work of art that is as tender as it is bracing."
74,m/10008234-alexandra,Emanuel Levy,Fresh,2007-05-27,"Though not a top-notch Sokurov, his new film is a conceptually fascinating meditation on war seen from the perspective of an older woman who visits the battle front."
75,m/10008234-alexandra,Jon Popick,Fresh,2007-09-12,The performance of 80-year-old Vishnevskay is priceless.
76,m/10008234-alexandra,Mick LaSalle,Fresh,2008-05-30,"In the hands of visionary filmmaker Alexander Sokurov, this simple material makes for a haunting drama about war, generational relationships and the human condition."
77,m/10008234-alexandra,Sean P. Means,Fresh,2008-05-16,"The images are indelible, if somewhat inscrutable (knowing Russian history would probably help, I suppose), but the message behind them rings out like a warning alarm."
78,m/10008234-alexandra,Kevin B. Lee,Rotten,2007-10-05,"Disappointingly uncharacteristic of Sokurov, the humanist moments that pass between them lean toward token sentiment, and the moments that pass between Alexandra and the grandson she traveled so far to see feel inconsequential."
79,m/10008234-alexandra,Glenn Whipp,Fresh,2008-04-11,"There's not a shot fired in the film, but it pierces the heart nonetheless."
80,m/10008234-alexandra,Jay Weissberg,Fresh,2007-05-24,"Less accessible to general auds than The Sun, pic deserves major accolades from fests as well as discerning arthouses."
81,m/10008234-alexandra,Joseph Proimakis,Rotten,2007-10-14,"Koyrasmenos dimioyrgika kai thematika, o Sokurov prosferei mia faflatadiki dokimi ton orion tis katatonias"
82,m/10008234-alexandra,Michael Sicinski,Rotten,2017-11-27,"Alexandra is a film made by someone who wants to talk, which is an admirable gesture. It's just not the correct one."
83,m/10008234-alexandra,Derek Malcolm,Fresh,2008-09-26,Sokurov is able to say things about the terrible conflict without obvious polemic but to the maximum possible effect. That's largely why he is one of the most audacious and original directors in the world today.
84,m/10008611-my_best_friends_girl,Wesley Morris,Rotten,2008-09-22,The inexplicable romantic comedy career of Dane Cook marches on.
85,m/10008611-my_best_friends_girl,Leigh Paatsch,Rotten,2008-10-10,A film that truly bites.
86,m/10008611-my_best_friends_girl,Fred Topel,Fresh,2008-09-26,Hitch has nothing on My Best Friend's Girl... the best romance since The Notebook.
87,m/10008611-my_best_friends_girl,Stephen Cole,Rotten,2008-09-22,"An ugly, strictly-for-meatheads comedy that can only be recommended to couples who wear matching Tie Domi Toronto Maple Leafs jerseys out on a date."
88,m/10008611-my_best_friends_girl,Amy Nicholson,Fresh,2008-09-23,Cahan's curious and increasingly sincere slant on modern romance outshines its efforts to please Cook's MySpace fan base with gross-out gags (some of which are damned funny).
89,m/10008611-my_best_friends_girl,Christopher Tookey,Rotten,2008-11-21,This is one of those films that would be enormously improved by the arrival of 100 crazy Somali pirates who would proceed to take the entire cast hostage.
90,m/10008611-my_best_friends_girl,Kaleem Aftab,Rotten,2018-11-01,"Devoid of any heart, My Best Friend's Girl relies on schoolboy toilet humour to maintain interest."
91,m/10008611-my_best_friends_girl,Claudia Puig,Rotten,2008-09-22,"It borrows from much funnier movies such as Hitch, Wedding Crashers and My Best Friend's Wedding. Never has a romantic comedy seemed less romantic or less comedic."
92,m/10008611-my_best_friends_girl,Roger Moore,Rotten,2008-09-19,Isolated bits don't add up to much here.
93,m/10008611-my_best_friends_girl,David Nusair,Rotten,2009-09-28,...ultimately falls prey to the melodramatic silliness that one has come to expect from the romantic comedy genre.
94,m/10008611-my_best_friends_girl,Joe Leydon,Fresh,2008-09-19,"Cook is most amusing while emphasizing his sardonic edginess, a trait that may eventually serve him well in some anti-heroic (or downright villainous) dramatic role. Better still, he establishes an effectively fluid give-and-take with Hudson."
95,m/10008611-my_best_friends_girl,James Berardinelli,Rotten,2008-09-19,"My Best Friend's Girl isn't just a misfire; it's a misfire compounded by a chain of miscalculations, and it's hard to figure out who this could appeal to (except, perhaps, Dane Cook's fan club)."
96,m/10008611-my_best_friends_girl,Jackie K. Cooper,Rotten,2008-09-23,"Golden Girl Kate Hudson gets tarnished by associating with Dane Cook in this tasteless, terrible movie"
97,m/10008611-my_best_friends_girl,Colin Fraser,Rotten,2008-10-10,You should steer well clear of the nasty ideas that screenwriter Jordan Cahan has about relationships and how they work.
98,m/10008611-my_best_friends_girl,Laura Kern,Fresh,2008-09-22,"There are no surprises here, but speedy pacing and a smattering of laughs along the way, as well as a knowing turn by Alec Baldwin as Tank's even more piggish father, make My Best Friend's Girl a date not entirely to be skipped."
99,m/10008611-my_best_friends_girl,Gregory Kirschling,Rotten,2008-09-19,"The actors (especially Alec Baldwin, as Tank's horndog dad) elevate the material slightly, but such piffle will just fill you with longing... for a better movie."
100,m/10008611-my_best_friends_girl,Linda Cook,Rotten,2008-09-27,"Mean, crass and tasteless, ""My Best Friend's Girl"" is only pretending to be a romantic comedy."
101,m/10008611-my_best_friends_girl,Katey Rich,Rotten,2008-09-19,"It's disturbing to think of the millions of teenage boys who will laugh when he insults a girl to get her in bed, or pees in a cactus plant at a restaurant."
102,m/10008611-my_best_friends_girl,Rafer Guzman,Rotten,2008-09-19,"The movie spends a lot of time trying to be cute, vulgar and cutely vulgar. But it forgets about character, plot and believability."
103,m/10008611-my_best_friends_girl,S. Jhoanna Robledo,Rotten,2010-12-31,"Inane, raunchy romantic comedy inspires no love."
104,m/10008617-midnight_meat_train,Kurt Loder,Fresh,2008-09-26,"Japanese cult director Ryuhei Kitamura maintains impressive control of the story, ratcheting up tension toward well-prepared and startling bursts of terror."
105,m/10008617-midnight_meat_train,Keith Breese,Rotten,2009-01-03,"while skimpy on characterization and plot, it should please gorehounds and Barker fans alike"
106,m/10008617-midnight_meat_train,Luke Y. Thompson,Fresh,2008-08-04,An efficient slasher with a surprisingly slow build-up and a decent amount of originality. Plus the best use of Vinnie Jones in any movie
107,m/10008617-midnight_meat_train,Rob Nelson,Fresh,2008-08-04,"Before flying off the rails in the final curve, The Midnight Meat Train rolls quite smoothly as a mid-'80s-style psycho-killer thriller a la The Hitcher."
108,m/10008617-midnight_meat_train,Jeffrey M. Anderson,Fresh,2009-03-20,"It's excessively and imaginatively gory, presented in a straightforward manner, but with the slightest hint of a wink."
109,m/10008617-midnight_meat_train,Sean Axmaker,Fresh,2009-02-11,"... remarkably effective and, when it finally arrives at the end of the line, admirably simple."
110,m/10008617-midnight_meat_train,Anton Bitel,Fresh,2008-10-24,"a stylishly bloody descent into madness, murder and Hell itself."
111,m/10008617-midnight_meat_train,Nick Schager,Fresh,2010-03-25,So thoroughly coated in over-the-top blood and guts that even veteran genre fans will likely be astounded.
112,m/10008617-midnight_meat_train,Brian Orndorf,Rotten,2008-08-02,"We've all been here before: scarcely-lit, acid-washed cinematography; dreamlike storytelling; absurdly pitched performances; a lauded Asian filmmaker making his American debut; and plenty of CG snap to the bloodletting."
113,m/10008617-midnight_meat_train,Zena Dixon,Fresh,2018-10-14,"Overall, I recommend the film, you may or may not find it a bit dry."
114,m/10008617-midnight_meat_train,Ken Hanke,Fresh,2009-02-21,"Midnight Meat Train may be no classic of the genre, but it's certainly a better and more interesting film than most of what passes for horror movies these days."
115,m/10008617-midnight_meat_train,Scott Weinberg,Fresh,2008-07-27,Manages to maintain that sly sense of dread that permeates the best of Barker's horror tales. Certainly one of the most effective horror films of the year.
116,m/10008617-midnight_meat_train,Richard Propes,Fresh,2020-09-16,"Easily one of 2008's most pleasant, if one dares to call such a film pleasant, surprises."
117,m/10008617-midnight_meat_train,Phil Villarreal,Rotten,2009-01-28,Goes full speed on ultra-gory rails before slamming to an abrupt stop.
118,m/10008617-midnight_meat_train,Felix Vasquez Jr.,Fresh,2008-10-06,"Destined to be a cult classic as a vicious, brilliant, and disgusting horror film..."
119,m/10008617-midnight_meat_train,Brad Miska,Fresh,2008-05-02,"MEAT TRAIN is the first BOOK OF BLOOD to depart from the station in a long time and it's refreshing to see that the film carries that bleak, yet romantic touch of Clive Barker all over it... it's guaranteed to make you squirm, scream and beg for more!"
120,m/10008617-midnight_meat_train,Lucius Gore,Fresh,2009-02-09,"This is the best Clive Barker-inspired movie in a long, long time -- probably since ""Hellraiser III"" in 1992."
121,m/10008617-midnight_meat_train,Phelim O'Neill,Rotten,2008-10-31,"Japanese director Ryuhei Kitamura, who kicked off his career with 2000's impressive micro-budget zombie flick Versus, delivers plenty of stylish visuals and an admirably unrestrained attitude to gore."
122,m/10008617-midnight_meat_train,Kaleem Aftab,Fresh,2018-11-01,There is a sprightly energy to the proceedings and a neat twist that makes this mindless fun something of a guilty pleasure.
123,m/10008617-midnight_meat_train,Bill Gibron,Fresh,2008-10-16,Midnight Meat Train can best be described as splatter noir. It's Fritz Lang by way of an abattoir.
124,m/10008618-return,Marc Mohan,Rotten,2008-09-26,"In the end, they laugh together, they cry together and they all learn a little something about this place we call America. At least, that was probably the plan."
125,m/10008618-return,Martin Tsai,Fresh,2015-10-07,"Mostly everything in the film, regardless of how contrived the set up, eventually rings true."
126,m/10008618-return,Peter Hartlaub,Rotten,2008-09-26,The Lucky Ones has plenty of heart and courage. If it only had a brain ...
127,m/10008618-return,Steven D. Greydanus,Rotten,2008-09-26,"After running through some pretty contrived paces for much of its running time, The Lucky Ones has some surprises in the last act that ultimately make it more satisfying than it might have been."
128,m/10008618-return,Roger Ebert,Fresh,2008-09-25,"This formula is fraught with pitfalls, but the characters and the actors redeem it with a surprising emotional impact."
129,m/10008618-return,Sura Wood,Rotten,2008-09-25,"The plot functions in a rudimentary fashion setting up one contrived complication after another, engendering a desire, despite a few amusing scenes and pleasant company, for the trio to arrive at their respective destinations as soon as possible."
130,m/10008618-return,Jeffrey M. Anderson,Fresh,2008-09-26,"Of its genre, it's uncommonly good, and it's also the cheeriest movie about Iraq war vets I've yet seen."
131,m/10008618-return,Bill Goodykoontz,Rotten,2008-09-25,The Lucky Ones takes a decent premise -- three soldiers returning from Iraq facing domestic challenges upon their arrival home -- and crams so much forced drama into it that the movie devolves into a hack buddy picture.
132,m/10008618-return,Chris Hewitt,Rotten,2008-09-26,Each secret is more implausible than the last.
133,m/10008618-return,Michael Sragow,Fresh,2008-09-26,What gives these episodes cumulative impact is the group portrait that emerges of a well-meaning country in a state of drift.
134,m/10008618-return,Marjorie Baumgarten,Rotten,2008-09-26,The story (by director Burger and Dirk Wittenborn) contains too many coincidences and convergences to wholly ring true.
135,m/10008618-return,Roger Moore,Rotten,2008-09-24,It's something of a well-intentioned mess.
136,m/10008618-return,David Germain,Rotten,2008-09-26,[A] far-fetched take on Iraq War homecomings.
137,m/10008618-return,Rex Reed,Fresh,2008-09-24,"Even when it feels contrived, The Lucky Ones is enhanced by Mr. Pea, Ms. McAdams and especially the terrific, always surprising Mr. Robbins, in performances so likable and well timed they carry you aloft, like a flag."
138,m/10008618-return,Adam Fendelman,Rotten,2008-09-30,"In this interview, The Lucky Ones director Neil Burger speaks about understanding the modern soldier, his surprising casting choice of anti-war activist Tim Robbins as a veteran and why he relates the story while the Iraq conflict continues."
139,m/10008618-return,Claudia Puig,Rotten,2008-09-26,"This is not the worst of the Iraq-themed movies of the past few years, and it's possibly the best acted of any of them. But you wish the bonding of these three people wasn't diluted by the trite scenarios and artificial circumstances of their saga."
140,m/10008618-return,Stephen Whitty,Rotten,2008-09-26,"It gets so preoccupied with all the local color and colorful locals, that it forgets about the people on this journey -- or their ultimate destination."
141,m/10008618-return,Fred Topel,Fresh,2008-09-26,"Rachel McAdams keeps reminding me how good she is in every role she takes. In this movie, she just glows energy. Acting is one thing. How do you project energy? Through joy, anger and curiosity, she projects this vibe and she is the backbone of the film."
142,m/10008618-return,Sean P. Means,Rotten,2008-09-26,"Based on the evidence here, director/co-writer Neil Burger may be the last American who's ambivalent about the Iraq War, and his movie suffers for it."
143,m/10008618-return,Rob Lowman,Rotten,2008-09-26,"As entertainment, the film works sporadically, though Burger never finds a rhythm."
144,m/10008785-appaloosa,Claudia Puig,Fresh,2008-09-19,It's a pleasure to watch such gifted actors interact in a classic genre.
145,m/10008785-appaloosa,Carrie Rickey,Fresh,2008-10-02,"Appaloosa is an archetypal western with touches of the modern buddy comedy. Though it falls short of these classics, it is a little bit Destry Rides Again and a little bit more Butch Cassidy and the Sundance Kid."
146,m/10008785-appaloosa,Jeanne Kaplan,Rotten,2008-10-08,Very disappointing ---- I was so in the mood for a great western!
147,m/10008785-appaloosa,Eric D. Snider,Fresh,2008-10-02,"Vastly entertaining in the old-fashioned ways: fun story, fun characters, fun everything."
148,m/10008785-appaloosa,Matt Mueller,Fresh,2008-09-26,"A classics-steeped western that rams home tradition over reinvention, Appaloosa kicks it hard as a buddy pic on horseback. Harris and Mortensen's study in laid-back companionship is the principal pleasure, leaving Zellweger mired in role that does her and"
149,m/10008785-appaloosa,Sarah Boslaugh,Rotten,2008-10-10,Sometimes Appaloosa seems bent on exploiting the standard cliches of the western genre ...while at others it seems striving to be a modernist update full of ambiguity ...
150,m/10008785-appaloosa,Brian Orndorf,Fresh,2008-10-02,"Harris's adoration for the genre is clear, and his Appaloosa is a fine addition to a growing list of neo-westerns incorporating a respectful tone, ideal aim of violence, and heartfelt observation all in the same breath."
151,m/10008785-appaloosa,Caffeinated Clint,Fresh,2008-09-08,"A finely textured, riveting Western that marks a welcome return to a classic American genre. Bristles with violence and humanity"
152,m/10008785-appaloosa,Kelly Jane Torrance,Fresh,2018-12-13,"The requisite standoffs and shootouts make this one tense film, but the mood is frequently lightened with a generous dose of surprising humor."
153,m/10008785-appaloosa,Roger Moore,Fresh,2008-10-01,"Ed Harris, working from a Robert Parker novel, has crafted a meticulously detailed, newfangled old-fashioned morality tale of hard men who go soft when a woman comes between them."
154,m/10008785-appaloosa,Tom Long,Rotten,2008-10-03,"After Appaloosa establishes its slightly modern characters in a traditional setting, it has nowhere to go but toward the completely expected."
155,m/10008785-appaloosa,Fred Topel,Fresh,2008-09-26,"The best western since 3:10 to Yuma, which is to say it's a western."
156,m/10008785-appaloosa,Wendy Ide,Fresh,2008-09-26,"This is no revisionist western designed to shock life into an unfashionable genre, rather a film that respects the conventions of the traditional western."
157,m/10008785-appaloosa,Brian D. Johnson,Rotten,2017-12-27,"Really, it's like watching three amigos passing the time of day in New Mexico while waiting for a call from Cronenberg."
158,m/10008785-appaloosa,Josh Larsen,Rotten,2008-10-07,...so old-fashioned it even carries a troubling dose of old-fashioned sexism.
159,m/10008785-appaloosa,Jeff Vice,Fresh,2008-10-02,"[Harris's] performance as the usually quiet but quick-to-action gunman is terrific, and he's smart enough to leave much of the narration duties and such to the soft-spoken Mortensen."
160,m/10008785-appaloosa,Kevin McCarthy,Rotten,2008-10-03,"With a cast and director like this, you would expect greatness. What you really should expect is a cup of coffee so you can stay awake."
161,m/10008785-appaloosa,Michael Sragow,Fresh,2008-10-03,"The movie brings back the danger and the humane humor of strong, silent men of action."
162,m/10008785-appaloosa,Matthew Turner,Fresh,2008-09-26,"Enjoyable, frequently offbeat western with an intriguing script and terrific performances from Harris and Mortensen."
163,m/10008785-appaloosa,Alonso Duralde,Fresh,2008-09-19,"Appaloosa will probably just ride off into the sunset without much of an impact, but it will sate your fix for horses, guns and slapping leather. You know, if you're into that sort of thing."
164,m/10008849-married_life,Rick Kisonak,Rotten,2008-05-27,"One of the dullest, most thoroughly pointless motion pictures ever made."
165,m/10008849-married_life,Harvey S. Karten,Fresh,2008-01-21,"A genre-bender that has elements of Douglas Sirk, Oscar Wilde, Alfred Hitchcock and Joseph Kesselring."
166,m/10008849-married_life,Geoff Berkshire,Fresh,2008-03-06,Sachs avoids the casual misogyny that other filmmakers have brought to similar material.
167,m/10008849-married_life,Tony Medley,Fresh,2008-03-06,"From the very start, with Doris Day singing ""I Can't Give You Anything But Love,"" this is a captivating, atmospheric thriller with superb performances."
168,m/10008849-married_life,Peter Howell,Rotten,2008-03-21,It's strange how a movie with this many different things happening could be so dull.
169,m/10008849-married_life,Jeffrey Westhoff,Rotten,2008-03-17,Asks the audience to spend a lot of time waiting for not much to happen.
170,m/10008849-married_life,Andy Klein,Rotten,2008-03-13,"[T]here is something off with the pacing. The big Hitchcockian suspense sequence toward the end feels like something from the middle of a movie; you expect one more twist, but none develops."
171,m/10008849-married_life,Sean Burns,Rotten,2008-03-19,...keeps pussyfooting back and forth between asking us to become emotionally invested and playing itself as parody. A better movie could've done both.
172,m/10008849-married_life,Stephen Holden,Fresh,2008-03-07,"Married Life, a period comedy of manners merged with a suspenseful psychological thriller, aspires to be a hybrid of the sort that Alfred Hitchcock polished to perfection."
173,m/10008849-married_life,MaryAnn Johanson,Rotten,2008-03-25,"The performances from this extraordinary cast are as sumptuous as you'd expect, but they disappear into a wisp of insignificance."
174,m/10008849-married_life,Marc Mohan,Rotten,2008-03-28,"Ultimately, the movie takes its characters, and the absurd ethical dilemma it subjects them to, far too seriously."
175,m/10008849-married_life,Robert W. Butler,Rotten,2008-03-28,"Married Life is genteel, well-mannered -- and boring."
176,m/10008849-married_life,Sean P. Means,Fresh,2008-03-28,[Brosnan] provides an odd but appropriate balance of laid-back irony and old-fashioned sentimentality that makes Married Life as interesting as married life itself.
177,m/10008849-married_life,Nick Schager,Rotten,2007-10-01,"Doesn't have much to say about marriage other than that it's complex, and often fraught with disappointment, deception and conflicting urges."
